Código de la transacción,Estatus de la transacción,Fecha de la transacción,Confirmación del pago,Productor(a),Código del producto,Producto,Código del precio,Nombre de este precio,Tasa de conversión (moneda de compra),Moneda de compra,Valor de compra con impuestos,Impuestos locales de compra + Tarifa de pago en cuotas,Valor de compra sin impuestos,Tasa de conversión (moneda en la que recibes los valores),Moneda en la que recibirás los valores,Facturación bruta (sin impuestos),Facturación bruta,Tipo de venta,Faturación neta del Productor(a),Comisión del Afiliado(a),Facturación del(de la) Coproductor(a),Moneda de las tarifas,Tarifa de procesamiento,Tasa de streaming,Otras tarifas,Nombre del Afiliado(a),Canal usado para la venta,Código SRC,Código SCK,Método de pago,Tipo de cobro,Periodicidad,Cantidad total de cuotas,Cantidad de cobros,Fecha de vencimiento (vouchers),Código del cupón,Período de prueba (trial),Cantidad de ítems,Comprador(a),Email del Comprador(a),País,Teléfono,Documento,Código postal,Ciudad,C. Autónoma/Dpto./Estado/Prov.,Dirección,Barrio,Número,Apto./piso/casa,Instagram
TRX000583,Completada,2022-05-21,No,Kyle Jones,PROD802,Enter,PRC6578,She,0.8586,EUR,597.01,118.86,478.15,0.9552,CLP,484.3,603.75,Online,469.23,9.6,3.59,BRL,4.84,0.57,1.16,,Redes sociales,SRC-9095,SCK-4688,Efectivo,Único,Único,1,1,2023-09-04,CUP-3058,1,1,Jessica Martinez,markpollard@example.org,Namibia,(266)725-4780,80401461-5,80244,Macktown,Arizona,90073 Scott Mill,Crystal Stream,8958,Apto. 25,@zcampbell
TRX000584,Completada,2024-03-12,Sí,Kenneth Montes,PROD683,Once,PRC5734,Pm,0.9227,EUR,483.06,91.7,391.36,1.1448,CLP,396.37,502.98,Online,384.42,1.25,8.9,BRL,2.71,0.38,1.7,Daniel Andrews,Tienda física,SRC-5967,SCK-1832,Tarjeta de crédito,Único,Único,1,1,2021-04-14,CUP-0542,5,3,Kimberly King,michaeljones@example.org,United Kingdom,001-403-659-4094,12597999-0,96012,Port Kelsey,Kansas,676 Johnson Roads Suite 289,Kemp Villages,182,Apto. 5,@shannonkimberly
TRX000585,Completada,2024-08-02,Sí,Daniel Salazar,PROD324,Many,PRC4626,Oil,0.9231,CLP,500.1,95.1,405.0,0.8279,CLP,406.06,503.77,Marketplace,399.63,5.51,1.83,CLP,10.18,2.68,5.03,Joel Roberts,App,SRC-3081,SCK-8363,Tarjeta de crédito,Recurrente,Trimestral,11,9,2022-01-06,CUP-9397,29,4,Catherine Goodwin,williamrich@example.com,British Virgin Islands,(848)218-5133x117,57767719-2,92820,Port Arthur,Iowa,87574 Michael Road,John Villages,8363,,@clarkalexander
TRX000586,Pendiente,2022-08-15,No,Ashley Wiggins,PROD872,Condition,PRC9897,Exactly,0.9805,USD,61.78,8.47,53.31,0.8351,BRL,54.67,66.18,Presencial,44.03,2.82,6.78,USD,2.28,0.23,1.69,Kaitlyn Mcfarland,App,SRC-6557,SCK-1364,Tarjeta de crédito,Único,Único,1,1,2024-04-14,CUP-6745,4,4,Patrick Stewart,lkelly@example.com,Kenya,001-744-388-2526x9901,11567338-5,10274,Steveport,West Virginia,0506 Tara Plains Apt. 831,Jonathon Islands,6063,,@thompsontodd
TRX000587,Completada,2022-12-23,Sí,David Garrett,PROD285,Skin,PRC4097,Skill,0.9726,USD,1611.48,273.3,1338.18,0.8396,USD,1347.25,1614.0,Online,1337.03,24.03,25.26,EUR,13.74,1.57,0.75,,Redes sociales,SRC-5633,SCK-3892,Tarjeta de crédito,Recurrente,Trimestral,11,6,2022-06-12,CUP-9524,3,4,Jodi Morgan,michelle57@example.net,Wallis and Futuna,+1-826-338-8032x4271,86286974-7,55284,East Cynthia,Alaska,854 Castro Mills,Robert Court,1744,,
TRX000588,Pendiente,2023-04-14,Sí,Tamara Hogan,PROD820,Clear,PRC2543,Country,0.9527,CLP,313.23,40.82,272.41,1.0835,EUR,279.71,324.24,Online,263.6,5.69,4.64,BRL,2.91,0.81,1.21,Tiffany Davis,Redes sociales,SRC-2328,SCK-0625,Transferencia,Único,Único,1,1,2022-05-08,CUP-9418,29,5,Glenn Ramirez,lucasmerritt@example.org,Belize,800-935-6303x282,35490479-8,50348,Scottchester,North Carolina,213 Kimberly Underpass Suite 086,Melissa Lodge,7858,Apto. 12,@paul34
TRX000589,Completada,2022-08-15,No,Michael Holloway,PROD649,Yes,PRC3088,Nothing,1.0501,USD,414.9,82.8,332.1,0.8541,USD,339.32,417.66,Online,327.33,0.01,1.78,EUR,0.9,0.28,1.97,,App,SRC-2309,SCK-2587,Tarjeta de crédito,Recurrente,Mensual,2,7,2021-10-28,CUP-9467,18,5,Mary Long,sandersjohn@example.net,French Polynesia,(201)672-6280x3364,74911634-3,89605,East Sherriton,Virginia,6366 Traci Divide,Cox Island,3216,,
TRX000590,Completada,2021-12-17,No,Aaron Reid,PROD609,Long,PRC6884,Power,1.1402,USD,86.66,14.15,72.51,1.0782,CLP,75.28,106.23,Online,65.37,1.49,8.52,EUR,3.73,0.04,1.55,Sarah Gray,Web,SRC-2951,SCK-1084,Efectivo,Único,Único,1,1,2023-07-15,CUP-1066,28,1,Nancy Tyler,michellemacdonald@example.com,Italy,001-301-874-9538,24410667-8,71849,Luisfort,Iowa,65024 Penny Trail,Michael Summit,6671,Apto. 17,@melanie07
TRX000591,Completada,2020-10-24,Sí,Tim Mcdaniel,PROD235,Something,PRC2163,Congress,1.0735,USD,217.91,39.14,178.77,1.1963,CLP,187.05,222.53,Presencial,174.2,3.56,9.03,CLP,2.61,0.38,1.22,,App,SRC-9850,SCK-2305,Transferencia,Único,Único,1,1,2023-10-17,CUP-0667,30,1,Joshua Young,dianeparsons@example.com,Serbia,447-695-5412,92202881-5,86166,North William,Utah,17680 Teresa Estate Suite 962,Hanna Vista,4320,Apto. 16,@katherine73
TRX000592,Pendiente,2025-05-13,No,Paul Greene,PROD670,Each,PRC7038,Very,1.1875,BRL,318.13,49.69,268.44,1.1366,BRL,270.47,334.16,Presencial,267.25,14.61,15.03,CLP,6.67,2.1,5.58,Cynthia Wright,Redes sociales,SRC-2502,SCK-7496,PayPal,Recurrente,Trimestral,6,1,2024-12-04,CUP-3838,18,3,Elizabeth Blake,timothylong@example.com,Cote d'Ivoire,+1-899-642-8580x330,14863290-8,42355,West Theresaview,Texas,159 Mary Crest Apt. 377,Daniel Ridges,4174,,@webbkeith
TRX000593,Cancelada,2022-10-13,No,Laura Holt,PROD271,Market,PRC8432,Capital,0.8759,USD,1768.19,298.04,1470.15,0.9541,BRL,1472.04,1780.28,Online,1467.9,12.5,0.26,CLP,5.49,0.44,1.3,Mr. Miguel Johnson,App,SRC-4568,SCK-8486,PayPal,Recurrente,Trimestral,11,9,2023-01-21,CUP-7374,10,3,Linda Sullivan,ramosjeffery@example.com,Saint Lucia,2475412081,68938252-8,89417,Adamborough,Pennsylvania,1602 Lawson Station,Webb Mill,2479,,
TRX000594,Cancelada,2022-04-19,Sí,Jessica Castro,PROD773,Your,PRC7230,Operation,0.9055,USD,6807.86,1099.7,5708.16,1.0239,USD,5717.46,6822.66,Online,5706.68,28.81,37.34,EUR,57.15,11.69,4.48,Claire Yang,Web,SRC-6367,SCK-8175,PayPal,Recurrente,Anual,9,4,2021-06-30,CUP-8135,7,3,James Adams,katelynrobinson@example.org,Zimbabwe,+1-453-995-2608x853,34011499-7,94847,Spencermouth,Louisiana,77049 Barbara Mall Suite 819,Diaz Turnpike,3315,,@vdavila
TRX000595,Cancelada,2023-04-22,No,Crystal Cruz,PROD611,State,PRC6420,Woman,1.1184,BRL,3750.15,519.63,3230.52,1.0347,EUR,3237.71,3757.63,Marketplace,3226.82,56.03,87.33,EUR,57.14,4.33,5.76,Curtis Mcdaniel,Redes sociales,SRC-0573,SCK-6891,PayPal,Recurrente,Anual,7,7,2025-11-16,CUP-8041,24,5,Kathleen Stephenson,rweber@example.org,Antigua and Barbuda,721.988.7716x9916,23634110-4,71021,Scottside,Virginia,1265 Benson Plaza Apt. 829,Gabriel Overpass,6264,Apto. 5,@rhonda24
TRX000596,Cancelada,2023-04-26,No,Amy Suarez,PROD620,Agree,PRC2434,Pull,1.1259,USD,56.14,7.39,48.75,1.1042,USD,54.1,63.54,Presencial,39.67,5.73,9.25,EUR,3.09,0.4,1.69,Ariel Dominguez,App,SRC-8553,SCK-7304,Tarjeta de crédito,Recurrente,Mensual,8,5,2021-09-11,CUP-6318,7,3,Keith Maddox,snyderdavid@example.net,Syrian Arab Republic,748-814-4000x407,02310640-7,80096,Moorechester,North Dakota,88542 Bradshaw Summit,Green Radial,9643,Apto. 8,@vjohnston
TRX000597,Completada,2023-06-05,No,Jade Robles,PROD936,Quality,PRC2906,Wide,0.9204,EUR,533.99,66.76,467.23,1.1545,USD,476.77,553.94,Marketplace,460.72,5.84,2.48,CLP,2.54,0.41,1.32,Melissa Burnett,Web,SRC-6547,SCK-5878,Tarjeta de crédito,Único,Único,1,1,2023-12-26,CUP-3710,17,1,Erica Dickson,michaelklein@example.org,South Africa,(677)218-5360x17430,25600413-1,54110,Bradfordmouth,Minnesota,0712 Johnston Squares,Garcia Meadows,8122,Apto. 34,
TRX000598,Completada,2021-06-30,No,Alexandra Marks,PROD935,Sort,PRC5577,Find,1.0956,USD,518.86,52.22,466.64,0.9732,BRL,471.11,533.46,Presencial,457.48,5.57,3.18,EUR,4.3,0.65,1.36,Michael Moore,Redes sociales,SRC-9043,SCK-8817,Transferencia,Único,Único,1,1,2025-11-15,CUP-6762,30,2,Carol Stephenson,thomasmichael@example.org,Zambia,663-991-5846,25604678-2,86139,Lake Jamestown,Montana,5026 John Burgs,Perez Way,415,Apto. 45,
TRX000599,Pendiente,2021-02-08,Sí,Megan Ochoa,PROD214,Seem,PRC5565,Lay,1.1644,CLP,138.91,19.85,119.06,1.17,EUR,124.83,147.97,Online,115.06,3.24,1.88,BRL,4.7,0.06,1.86,Jeffrey Cordova,Web,SRC-4053,SCK-2421,Tarjeta de crédito,Único,Único,1,1,2023-12-04,CUP-6943,29,2,Michael Landry,dmcintyre@example.net,Papua New Guinea,5584138057,13678864-5,44049,Dennisville,Massachusetts,70557 Michael Estate,Johnson Locks,7928,,
TRX000600,Cancelada,2023-02-02,Sí,Debra Davis,PROD887,Sport,PRC4565,Cut,1.1052,CLP,185.4,23.9,161.5,0.9978,USD,170.95,198.65,Online,160.3,0.26,3.01,USD,1.05,0.38,0.69,,Redes sociales,SRC-5998,SCK-9625,Transferencia,Único,Único,1,1,2023-04-11,CUP-9263,19,2,Alexander Reyes,matthewreed@example.com,Benin,397.451.9378x4953,73445801-9,65055,Wattsville,Illinois,1646 Luis Squares Suite 532,David Spring,9431,Apto. 47,
TRX000601,Completada,2024-05-20,Sí,Patricia Williams,PROD755,Require,PRC8253,Mrs,0.8907,USD,451.15,88.77,362.38,1.1574,USD,371.31,458.19,Online,355.79,2.13,2.35,EUR,2.14,0.47,1.39,,App,SRC-1014,SCK-8129,PayPal,Recurrente,Mensual,4,3,2024-05-08,CUP-1988,13,4,Raymond Peters,john48@example.net,Serbia,+1-712-268-1793x0080,58081403-3,37544,West Virginiaside,West Virginia,056 Matthew Row,Patrick Ramp,1428,Apto. 33,
TRX000602,Completada,2023-05-20,Sí,Tonya Strickland,PROD949,Authority,PRC4275,Bill,0.9525,CLP,182.38,17.68,164.7,0.8057,CLP,165.16,201.9,Online,162.83,18.21,23.64,BRL,2.85,1.93,5.71,,App,SRC-6694,SCK-6021,Transferencia,Recurrente,Trimestral,12,2,2021-12-05,CUP-4676,21,4,Brianna Wilson,ashlee36@example.org,Austria,249.488.4959x126,03314656-5,65438,Port Robertstad,New York,04995 Kevin Parkway,Roberts Courts,4295,Apto. 35,
TRX000603,Completada,2022-06-03,Sí,Joseph Thomas,PROD265,Shake,PRC9328,Seat,0.8068,CLP,204.9,35.99,168.91,1.1018,EUR,171.01,207.52,Presencial,159.21,2.17,6.91,USD,2.06,0.99,1.72,,App,SRC-9532,SCK-2307,Transferencia,Recurrente,Mensual,12,6,2025-12-24,CUP-4876,1,4,Thomas Gutierrez,elizabethcarroll@example.com,Liechtenstein,658-261-8058x393,83544278-8,46752,New Georgechester,South Carolina,6932 Beck Rapid Suite 276,Dominic Mall,2999,Apto. 40,@christopherthompson
TRX000604,Cancelada,2022-02-18,Sí,Barbara Harris,PROD644,Sister,PRC1908,Policy,0.9086,BRL,512.61,61.5,451.11,0.9103,USD,459.01,530.55,Online,446.32,7.99,0.67,BRL,3.51,0.23,1.12,Yvonne Sanford,Web,SRC-7802,SCK-2801,PayPal,Único,Único,1,1,2024-12-11,CUP-7106,0,1,Edward Dillon,andersonpaul@example.net,France,573-453-4143x910,31866790-6,55817,Moyerview,New Mexico,201 Dorothy Circle Suite 083,Wright Mountain,3601,Apto. 50,@phillipsparks
TRX000605,Pendiente,2023-08-23,No,Michael Floyd,PROD909,Some,PRC8801,Half,0.818,EUR,296.35,37.08,259.27,0.9006,CLP,264.98,304.34,Online,252.07,6.57,3.86,CLP,2.16,0.43,1.44,Chelsea Fitzpatrick,Tienda física,SRC-4225,SCK-3939,PayPal,Único,Único,1,1,2021-09-06,CUP-4257,8,1,Randy Bryant,michael50@example.org,Botswana,+1-588-552-1148x46036,96878842-0,99869,Stevenshire,Wyoming,8947 Brown Lights,Felicia Fall,9332,,
TRX000606,Completada,2023-01-23,Sí,Matthew Brown,PROD359,World,PRC3764,Free,0.9738,USD,7025.43,1114.95,5910.48,1.0667,CLP,5915.45,7034.45,Marketplace,5902.43,7.22,96.41,BRL,11.19,8.75,2.16,Brad Barnes,App,SRC-7946,SCK-7781,Transferencia,Recurrente,Anual,12,7,2023-11-25,CUP-9863,12,4,Nicole Miller,mollynguyen@example.net,French Guiana,001-659-921-1857x23501,37796263-8,76970,Warestad,Maine,791 Spencer Roads Apt. 200,Andrew Burgs,8716,Apto. 37,@newtongregory
TRX000607,Pendiente,2024-07-07,No,Linda Foster,PROD791,Front,PRC1463,Bed,0.9842,EUR,53.95,7.6,46.35,1.0782,BRL,48.66,71.81,Marketplace,38.37,9.85,1.85,BRL,2.09,0.84,1.87,,Tienda física,SRC-5759,SCK-5149,Transferencia,Recurrente,Mensual,2,10,2024-05-24,CUP-0967,20,4,Michael Lambert,beckalan@example.net,Estonia,+1-758-472-4227x4966,94830517-1,77351,Mooremouth,California,343 Mark Meadows,Brooks Mission,5388,,@njimenez
TRX000608,Pendiente,2021-09-07,No,Samantha Hughes,PROD389,There,PRC8472,Specific,1.1198,EUR,139.38,15.12,124.26,0.992,CLP,130.12,142.55,Online,120.74,0.24,3.49,USD,2.39,0.56,0.79,Scott Morris,Redes sociales,SRC-3104,SCK-9791,Efectivo,Recurrente,Mensual,7,5,2022-07-09,CUP-7712,14,5,Amanda Kramer,bentleyvickie@example.net,Argentina,446.666.9747x2171,35668303-2,46148,South Sarah,Oregon,255 Luna Light Suite 350,Montes Trace,7376,,@reesedonna
TRX000609,Pendiente,2021-04-23,No,Marissa Evans,PROD815,Main,PRC4614,Thought,0.9881,CLP,229.24,30.27,198.97,1.0355,BRL,199.31,243.05,Presencial,190.39,0.33,4.07,BRL,3.27,0.96,0.88,Travis Perry,Tienda física,SRC-1261,SCK-4993,Transferencia,Único,Único,1,1,2024-07-05,CUP-3196,22,4,Victor Alexander,qwolfe@example.org,Mozambique,001-809-451-9566x30063,10516407-8,61098,Port Kevinhaven,Connecticut,53739 Diaz Estate,Weeks Estates,3650,,@beverly86
TRX000610,Pendiente,2022-08-20,No,Antonio Ward,PROD340,Nation,PRC2283,Person,1.1413,EUR,3149.24,289.4,2859.84,1.1665,EUR,2860.94,3156.6,Marketplace,2854.55,55.52,80.93,BRL,24.83,3.38,15.78,Patricia Wells,Tienda física,SRC-2996,SCK-9915,PayPal,Recurrente,Anual,5,12,2022-03-16,CUP-8270,9,3,Cameron Wright,lewisdavid@example.net,Montserrat,674.360.2136,57712918-4,23147,Bryanshire,Minnesota,76558 Eric Square Suite 528,Hawkins Skyway,1196,,@kanerachel
TRX000611,Pendiente,2021-05-28,No,Brittany Hernandez,PROD370,Star,PRC1281,True,1.0103,USD,430.64,51.68,378.96,0.8584,CLP,387.54,444.75,Marketplace,376.2,4.51,2.26,EUR,2.75,0.13,1.45,,App,SRC-2933,SCK-5287,PayPal,Único,Único,1,1,2023-03-18,CUP-7153,7,2,Taylor Banks,todd26@example.net,Papua New Guinea,274-364-5507x2831,85088087-5,53338,Loristad,Wisconsin,581 Luke Branch,Aaron Row,1698,Apto. 1,@ftucker
TRX000612,Cancelada,2024-06-12,No,Jonathan Miller,PROD479,Difference,PRC6516,Likely,0.989,USD,77.83,11.41,66.42,1.1437,USD,69.69,78.7,Online,57.43,5.19,1.93,USD,0.55,0.3,1.13,,Redes sociales,SRC-8866,SCK-3646,Tarjeta de crédito,Único,Único,1,1,2024-06-14,CUP-3334,23,5,Jessica Manning,mdickson@example.com,Morocco,(226)428-1915,37438734-5,07091,Tamaraville,Rhode Island,50472 Johnson Neck Suite 291,Kelly Radial,3661,,
TRX000613,Pendiente,2022-11-12,No,Wesley Gray,PROD641,Owner,PRC7416,No,0.8761,EUR,553.61,103.96,449.65,1.0512,BRL,457.44,555.74,Online,447.61,8.64,3.33,BRL,4.87,0.08,1.15,Taylor Carpenter,Web,SRC-9817,SCK-4736,PayPal,Único,Único,1,1,2023-08-08,CUP-3978,11,5,Kelly Drake,rebecca57@example.org,Ecuador,898-544-4961,95257477-7,36895,South Danielle,Colorado,84877 Reyes Via,Kristen River,4889,Apto. 13,
TRX000614,Completada,2020-11-02,No,Kristine Stone,PROD261,Go,PRC3223,Hour,0.8134,USD,394.68,39.39,355.29,0.878,BRL,360.8,413.37,Presencial,354.81,6.14,26.71,USD,5.08,0.62,0.65,Seth Medina DVM,Redes sociales,SRC-2290,SCK-0059,Efectivo,Recurrente,Trimestral,9,12,2021-06-19,CUP-4517,21,4,Frank Diaz,morrisashley@example.net,Czech Republic,542-246-2712x393,65335359-7,41627,New Randyburgh,North Carolina,196 Alicia Points,Gallagher Islands,8852,,
TRX000615,Cancelada,2023-08-06,Sí,Shannon Thomas,PROD762,Science,PRC8983,Stop,0.9753,EUR,4800.77,518.69,4282.08,0.8258,EUR,4285.89,4817.98,Online,4276.25,6.01,106.33,CLP,22.31,10.1,1.4,Connor Christian,Tienda física,SRC-6309,SCK-7739,Tarjeta de crédito,Recurrente,Anual,3,3,2024-06-03,CUP-8366,19,3,Keith Sandoval,ugordon@example.com,Algeria,001-204-945-0729x62901,93226527-8,21254,Keithbury,Alaska,415 Porter Cliff Suite 753,Martin Unions,6917,Apto. 26,@angela98
TRX000616,Completada,2022-09-25,Sí,Jonathan Mason,PROD116,Account,PRC3202,Miss,0.9321,CLP,6499.07,1250.87,5248.2,0.8862,CLP,5250.21,6502.26,Online,5243.0,18.4,95.18,CLP,17.85,3.04,11.24,Ethan Gonzalez,Web,SRC-8053,SCK-6597,Efectivo,Recurrente,Anual,8,6,2021-02-27,CUP-8395,14,4,Jesse Wolfe,baileylauren@example.org,Ireland,+1-967-221-2815x683,27853798-2,15133,Tiffanyshire,Hawaii,37173 Monica Meadow Apt. 908,Schmidt Bypass,2327,Apto. 50,
TRX000617,Completada,2022-06-21,No,Thomas Harris,PROD935,Traditional,PRC8989,Large,0.8683,CLP,480.31,84.1,396.21,0.8867,USD,402.63,483.78,Online,394.1,2.35,27.11,USD,8.79,1.38,5.68,,Web,SRC-8167,SCK-2386,Tarjeta de crédito,Recurrente,Trimestral,8,12,2022-10-15,CUP-6067,30,2,Dr. Gregory Kelly,jessicamolina@example.com,French Guiana,205-477-2504,58988108-5,43143,Hernandezmouth,New York,7208 Eric Crescent Apt. 415,Kristina Street,2170,,
TRX000618,Completada,2025-03-06,No,Lauren Wilson,PROD757,Hundred,PRC9113,Address,0.9284,EUR,277.5,52.22,225.28,0.9656,USD,233.59,285.77,Presencial,218.67,5.46,7.3,CLP,2.24,0.64,0.45,,Redes sociales,SRC-8161,SCK-1556,Transferencia,Único,Único,1,1,2026-03-23,CUP-1340,15,2,Jessica Pena,williamsmonica@example.com,Grenada,+1-840-289-2270,64949356-5,97376,Lake Jeffreyfurt,Indiana,4722 Cox Trail,Todd Pine,5563,,@joebrown
TRX000619,Cancelada,2024-03-30,Sí,Marvin White,PROD353,Expert,PRC8953,Radio,0.8996,USD,442.39,86.59,355.8,0.9805,CLP,359.23,458.03,Online,351.86,64.05,85.51,CLP,13.02,1.03,1.13,,Web,SRC-9663,SCK-9000,Transferencia,Recurrente,Anual,12,6,2022-09-12,CUP-3980,17,4,William Barrera,ksimpson@example.com,Bosnia and Herzegovina,909-261-7099x8731,98166881-3,02836,Port Courtney,Maine,128 Michael Courts Suite 454,Cruz Drives,820,,@scott12
TRX000620,Cancelada,2024-10-04,No,Brian Alexander,PROD811,Personal,PRC6815,Month,0.8713,EUR,507.61,74.76,432.85,1.0941,CLP,440.83,521.48,Presencial,423.52,5.98,3.53,CLP,1.28,0.14,0.98,Christopher Camacho,Tienda física,SRC-9579,SCK-4745,Transferencia,Único,Único,1,1,2020-12-04,CUP-0989,17,4,Barbara Mckee,christopherrogers@example.com,Bhutan,(604)326-1447x16504,52644582-9,54776,Jessicastad,Kentucky,913 Grant Glens,Poole Dale,2979,,@morrisonlisa
TRX000621,Completada,2024-06-20,Sí,Kristopher Galvan,PROD857,Simply,PRC1024,Community,1.0769,USD,93.35,12.62,80.73,0.8809,EUR,83.94,100.89,Presencial,72.62,5.91,6.46,EUR,2.49,0.9,0.04,,Redes sociales,SRC-4276,SCK-0741,PayPal,Recurrente,Mensual,1,5,2022-08-21,CUP-4402,0,2,Caleb Bell,eric55@example.com,Benin,+1-332-762-1384,51095425-2,63578,Adamfurt,Ohio,482 Samuel Mountains,Edward Field,170,Apto. 24,
TRX000622,Pendiente,2021-06-17,No,Matthew Douglas,PROD749,Development,PRC4427,Middle,0.864,EUR,381.59,71.67,309.92,0.9656,EUR,316.74,385.38,Online,304.95,6.24,9.04,BRL,4.65,0.47,1.59,Ashley Logan,Tienda física,SRC-2672,SCK-7332,Transferencia,Recurrente,Mensual,1,7,2024-12-08,CUP-2776,28,4,Jeffrey Mendez,carpentermegan@example.com,Mauritania,574.892.9449x931,75726684-9,01100,Jerrychester,New Hampshire,03161 Nancy Orchard,Carlson Junctions,5723,,@kevinherman
TRX000623,Pendiente,2023-03-16,Sí,Chelsey Garcia,PROD143,From,PRC3484,Stuff,1.0366,EUR,27.28,3.67,23.61,1.103,BRL,25.19,41.78,Online,17.68,1.17,3.23,BRL,1.6,0.67,1.62,,App,SRC-1801,SCK-6648,PayPal,Único,Único,1,1,2025-06-14,CUP-2362,24,2,Sheila Savage,vincentcopeland@example.net,United States Virgin Islands,+1-753-911-5439x781,34159106-6,02114,Mathisbury,Virginia,0460 Robert Shoal Apt. 247,Duane Junction,701,Apto. 28,@littleandrea
TRX000624,Completada,2023-11-29,Sí,Stephanie Nixon,PROD379,Bit,PRC9756,Yes,1.1407,USD,3763.77,619.29,3144.48,1.0817,USD,3145.45,3774.79,Online,3142.43,12.84,78.56,CLP,15.55,1.82,22.79,Dana Williams,Web,SRC-6210,SCK-8401,PayPal,Recurrente,Anual,12,5,2022-10-06,CUP-7997,21,1,Alicia Taylor,johnsonyolanda@example.com,Norway,(326)886-6508x368,82140737-3,07567,Millerview,Wisconsin,039 Carrie Drives,Robin Junctions,6103,,
TRX000625,Cancelada,2024-08-28,Sí,Jeanne Sanders,PROD498,Among,PRC6067,Meet,1.1955,USD,3546.93,489.81,3057.12,1.1349,CLP,3058.16,3564.8,Online,3051.29,63.7,31.46,BRL,15.59,11.14,21.97,Christopher Pearson,Redes sociales,SRC-4748,SCK-5798,Transferencia,Recurrente,Anual,6,9,2024-06-21,CUP-8921,24,4,Joel Patel,sheila29@example.org,China,(597)625-4014,75431886-4,47818,Shawnton,Arkansas,924 Robinson Loop Apt. 755,Wong Harbors,6582,Apto. 19,
TRX000626,Completada,2024-08-02,Sí,David Vasquez,PROD176,American,PRC4167,Add,0.8732,EUR,364.93,62.99,301.94,1.0761,CLP,308.53,369.28,Presencial,300.82,1.41,9.3,USD,3.25,0.53,1.59,Kathryn Marshall,Redes sociales,SRC-0990,SCK-3172,Tarjeta de crédito,Único,Único,1,1,2021-01-13,CUP-1359,15,5,April Lee,danieltodd@example.net,Italy,001-264-301-0146,93352062-2,50730,Lake Ashleyland,Missouri,66331 Davis Center Apt. 310,Thomas Spurs,7316,Apto. 10,
TRX000627,Pendiente,2022-09-04,No,Lauren Stewart,PROD519,Will,PRC1343,Single,1.095,USD,4659.69,478.65,4181.04,1.0825,CLP,4188.02,4662.91,Online,4179.93,65.95,6.84,EUR,56.56,8.98,12.94,George Rodriguez,Redes sociales,SRC-9508,SCK-1900,Transferencia,Recurrente,Anual,2,1,2025-02-01,CUP-5673,20,1,Brooke Butler,michaelwood@example.com,South Georgia and the South Sandwich Islands,(235)824-1302x28671,65602492-3,48516,Alexanderport,Colorado,057 Tyrone Fields Apt. 279,Benson Springs,5352,Apto. 12,@frank15
TRX000628,Cancelada,2023-01-24,Sí,Kelly Warner,PROD161,Three,PRC8390,Window,0.9592,BRL,307.44,28.02,279.42,0.8656,BRL,286.31,314.55,Presencial,270.17,8.42,6.16,USD,4.36,0.18,1.11,,Redes sociales,SRC-8916,SCK-8317,Transferencia,Único,Único,1,1,2025-08-01,CUP-5111,26,4,Nathaniel Wilson,jacqueline84@example.com,Tuvalu,867-831-3717x4190,95450857-0,25674,Adrianville,Tennessee,6170 Garcia Run,Daniel Spring,6677,,
TRX000629,Completada,2021-01-22,No,Daniel Davis,PROD665,Nearly,PRC5992,Program,1.1861,CLP,551.07,108.27,442.8,0.8003,CLP,450.3,569.33,Online,435.12,1.77,4.55,USD,3.49,0.79,0.4,Anita Martin,App,SRC-3579,SCK-6564,Tarjeta de crédito,Único,Único,1,1,2021-06-09,CUP-1915,17,5,Carlos Ross,mckinneymorgan@example.net,Svalbard & Jan Mayen Islands,(641)316-4342,14754662-4,99184,East Jeremy,Arkansas,2116 Ross Fork Suite 159,John Spurs,3667,,@jmyers
TRX000630,Pendiente,2020-10-02,No,Donna Scott,PROD197,Cup,PRC1711,Sort,0.969,EUR,308.9,40.01,268.89,1.1302,USD,276.25,327.66,Online,261.89,4.06,8.96,CLP,4.35,0.81,0.49,Annette Hamilton,App,SRC-4950,SCK-6054,Efectivo,Único,Único,1,1,2021-10-19,CUP-3713,14,4,Donna Coleman,cynthiasherman@example.org,Yemen,589.207.8695x7601,41544747-3,31711,Jacquelinestad,Tennessee,69701 Shaw Lake Apt. 531,Robles Island,1914,,@kingadam
TRX000631,Cancelada,2023-04-01,Sí,Bradley Adkins,PROD818,National,PRC7402,Generation,0.9507,BRL,6146.31,1009.35,5136.96,1.0135,USD,5139.95,6157.13,Marketplace,5130.35,21.38,81.07,EUR,37.04,1.13,7.77,Kristin Horton,App,SRC-4095,SCK-2905,PayPal,Recurrente,Anual,6,4,2024-11-23,CUP-5095,8,4,Mr. Jonathan Schmidt,yblair@example.com,Madagascar,3633992416,95406278-9,03899,South Wayneborough,Colorado,17959 Natalie Drive,Jason Common,148,Apto. 49,
TRX000632,Pendiente,2021-05-11,Sí,Jonathan Reed,PROD882,Thank,PRC8174,Road,1.0296,BRL,350.05,56.18,293.87,0.9938,CLP,300.14,358.95,Marketplace,292.44,6.17,4.23,BRL,1.88,0.68,0.51,Cindy York,Tienda física,SRC-6162,SCK-7141,Efectivo,Único,Único,1,1,2021-10-07,CUP-2773,2,5,Ethan Vasquez,lroy@example.org,Philippines,720-994-2079x3741,19942505-9,18319,Jeremytown,Wyoming,8779 Randall Skyway Apt. 737,Chavez Forges,3171,Apto. 39,@hendersonerin
